Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
MVP,Historical,32,0.017062161191909064,0.007062949994238387,
HRP,Historical,32,0.023384297192570624,0.00790697936589074,
ERC,Historical,32,0.025767776560870814,0.008397150075360746,0.023571673530723723
MVP,GARCH,32,0.01756501015145795,0.007043247143185084,
HRP,GARCH,32,0.0232436324886669,0.00793615104785241,
ERC,GARCH,32,0.025733241884739133,0.008431661173065388,0.023477034904755934
MVP,DCC,32,0.01756191151372377,0.007043473869895755,
HRP,DCC,32,0.02324321273637664,0.00793694026180128,
ERC,DCC,32,0.02573299437124099,0.008432503996632533,0.023478070613664883
Naive,N/A,33,-0.006371712734321022,0.009121713299854816,
MVP,Historical,33,-0.006398385117107774,0.007081114835300495,
HRP,Historical,33,-0.007044401186034888,0.007935304355869846,
ERC,Historical,33,-0.006800806878569321,0.00843123284398628,0.06995131458938965
MVP,GARCH,33,-0.00632442790347898,0.007073741228064427,
HRP,GARCH,33,-0.006989726913350314,0.007993923801014276,
ERC,GARCH,33,-0.006762002106763587,0.008508301994640066,0.0708746372930855
MVP,DCC,33,-0.006325660511907971,0.0070746133883859506,
HRP,DCC,33,-0.0069897446112228145,0.007995642774207844,
ERC,DCC,33,-0.006762266416898255,0.008510277146539378,0.07087448208339464
Naive,N/A,34,0.0036075844279503944,0.009122903278065765,
MVP,Historical,34,-0.0016734026717867279,0.0070826770833954476,
HRP,Historical,34,0.0015463007855427424,0.007918254935119676,
ERC,Historical,34,0.002381888061806947,0.00843348260967016,0.28235362477299664
MVP,GARCH,34,-0.0015814376143613584,0.007052962933825012,
HRP,GARCH,34,0.0015949288507295378,0.007886548855043437,
ERC,GARCH,34,0.00240500134055166,0.008399906394288194,0.278323026095324
MVP,DCC,34,-0.0015812144392920446,0.007053127017239033,
HRP,DCC,34,0.001595010730264912,0.007886744795759541,
ERC,DCC,34,0.002405306353156389,0.008400030531495633,0.2782778748706784
Naive,N/A,35,0.005440551257542614,0.009119042837458775,
MVP,Historical,35,0.007031649628645553,0.007081328194128896,
HRP,Historical,35,0.005506014279311966,0.007915487231747096,
ERC,Historical,35,0.005736582434251014,0.008430783884601773,0.12311401525068107
MVP,GARCH,35,0.00704415514030754,0.0070471407937486765,
HRP,GARCH,35,0.005587469580182081,0.007887736585678623,
ERC,GARCH,35,0.005775404375821802,0.008402144803571458,0.12177630669540146
MVP,DCC,35,0.007043566021922576,0.007046977858094109,
HRP,DCC,35,0.005587664331750508,0.00788742967710613,
ERC,DCC,35,0.005775049193064374,0.00840184864081095,0.12178897969387943
Naive,N/A,36,0.0019318006106219254,0.009120068296779048,
MVP,Historical,36,0.006940726319876633,0.0070834124163345075,
HRP,Historical,36,0.0028167421464728726,0.007968745551424305,
ERC,Historical,36,0.002583876260595197,0.00843243464471175,0.19882853809229345
MVP,GARCH,36,0.006746451258095254,0.007061234840365636,
HRP,GARCH,36,0.0027929464225002754,0.00794904657024863,
ERC,GARCH,36,0.0025724470199486316,0.008405059367503654,0.19953659725836104
MVP,DCC,36,0.006746187338666498,0.007061066514470029,
HRP,DCC,36,0.002793234192785876,0.007948746612573512,
ERC,DCC,36,0.002572495125382712,0.00840481079824907,0.1995318044636789
Naive,N/A,37,-0.0011495377591486111,0.009117951651708677,
MVP,Historical,37,-0.0038198890196192714,0.007083894906724057,
HRP,Historical,37,-0.00275456306063826,0.007963733175607645,
ERC,Historical,37,-0.002058982400244491,0.00842961161608196,0.31385453845172945
MVP,GARCH,37,-0.003992133882900428,0.007033830179843877,
HRP,GARCH,37,-0.0028024572756921717,0.007886194624317298,
ERC,GARCH,37,-0.0020906896087256044,0.008345878374417968,0.31056354881273746
MVP,DCC,37,-0.003990885242068476,0.007033837373049773,
HRP,DCC,37,-0.002802435548992177,0.00788601505642233,
ERC,DCC,37,-0.0020907106551195653,0.008345680071609532,0.3105577470429194
Naive,N/A,38,-0.011268054246635906,0.009118010500631745,
MVP,Historical,38,-0.006490455237289194,0.0070845954156988035,
HRP,Historical,38,-0.008723990483874955,0.007964487876422342,
ERC,Historical,38,-0.009812697209023336,0.00843021569870381,0.0358728806136823
MVP,GARCH,38,-0.006424687531500828,0.007050884426036264,
HRP,GARCH,38,-0.008632357631768617,0.00795220145592215,
ERC,GARCH,38,-0.009769612708905973,0.008412872859526195,0.03559293186868004
MVP,DCC,38,-0.00642453859511416,0.007050783162641761,
HRP,DCC,38,-0.008632330184781156,0.007951926412317003,
ERC,DCC,38,-0.009769722976324058,0.008412537082742092,0.035592651532476545
Naive,N/A,39,0.007588041245613963,0.00912335767173829,
MVP,Historical,39,0.004936095398060392,0.007086484595459334,
HRP,Historical,39,0.007055344208581671,0.007986794538433518,
ERC,Historical,39,0.007234260231848477,0.008433433617087528,0.08232527945909006
MVP,GARCH,39,0.004907417726683905,0.007048947366658673,
HRP,GARCH,39,0.007083355937357538,0.00793877046210166,
ERC,GARCH,39,0.007247267959895165,0.008373108253254541,0.08182041996738029
MVP,DCC,39,0.00490643694991455,0.007049014466134217,
HRP,DCC,39,0.0070832781851370985,0.007938991406096082,
ERC,DCC,39,0.007246948172011658,0.008373362306925876,0.08182260096040703
Naive,N/A,40,-0.014540942193382866,0.009125795207184467,
MVP,Historical,40,-0.007596629107253117,0.007087465274436189,
HRP,Historical,40,-0.011732439444862242,0.007989495582996425,
ERC,Historical,40,-0.012987582058474612,0.008435782910298027,0.039873321140727135
MVP,GARCH,40,-0.007616243133141021,0.0070389828981060375,
HRP,GARCH,40,-0.011656689923926655,0.007945298984700979,
ERC,GARCH,40,-0.012958055707268268,0.008384876259449737,0.039662662125098856
MVP,DCC,40,-0.00761577193830143,0.0070386648215024425,
HRP,DCC,40,-0.011656667023547174,0.007945189601892635,
ERC,DCC,40,-0.012957991316215667,0.008384751785734104,0.039663645906110524
Naive,N/A,41,0.002150930311981769,0.009132850161153677,
MVP,Historical,41,-0.00010762227774052668,0.007091221558212256,
HRP,Historical,41,0.0006503583115347045,0.007996089334477319,
ERC,Historical,41,0.0011529647222932038,0.00844256171037939,0.5399792465774804
MVP,GARCH,41,-0.0002401069678512613,0.007060937426719912,
HRP,GARCH,41,0.0003774006785470796,0.00800937034944592,
ERC,GARCH,41,0.00101578004564562,0.008455449166264941,0.6121876428643657
MVP,DCC,41,-0.0002414798394619888,0.007061093975229984,
HRP,DCC,41,0.00037741762336440665,0.00800975649653897,
ERC,DCC,41,0.001015410400821093,0.008455834171203571,0.612406372971049
Naive,N/A,42,-0.004146008291450509,0.0090673106815627,
MVP,Historical,42,0.003100384306081949,0.007072499092091074,
HRP,Historical,42,-0.0010497013642264408,0.00785696896682044,
ERC,Historical,42,-0.0025686279860863692,0.00839355892275694,0.1802669321809735
