Model,Covariance Type,Window Index,Mean Return,Forecasted Std
ERC,Historical,27,-0.0019239162315110817,0.013595449286947415
MVP,GARCH,27,-0.0010973004929490905,0.006393204887933417
HRP,GARCH,27,-0.0017040426756893775,0.008789380911984356
ERC,GARCH,27,-0.0018536167423531841,0.00923612561556147
MVP,DCC,27,-0.001608854941461,0.0061158132780420975
HRP,DCC,27,-0.0017213281973712878,0.00823012328086438
ERC,DCC,27,-0.0018741504449897382,0.008635406253859097
Naive,N/A,28,0.0032951900123530447,0.015295363388082722
MVP,Historical,28,0.0036371116982907652,0.008245527411891704
HRP,Historical,28,0.003242539970978476,0.012298964027739138
ERC,Historical,28,0.0032247235087062994,0.013566190596544906
MVP,GARCH,28,0.002743281880346925,0.005891800967231513
HRP,GARCH,28,0.003023900747438841,0.008476823377756083
ERC,GARCH,28,0.0031372002657057653,0.009117211707194013
MVP,DCC,28,0.002794918470145349,0.005711478239107505
HRP,DCC,28,0.0030497239847705345,0.007931337377885256
ERC,DCC,28,0.0031120921861114855,0.00852411819449245
Naive,N/A,29,-0.009557240723688099,0.015262048738594327
MVP,Historical,29,-0.0066458119640335715,0.008178486519870916
HRP,Historical,29,-0.008509713821447027,0.012222630547908907
ERC,Historical,29,-0.008912844829532723,0.013524230495079715
MVP,GARCH,29,-0.007883015423681309,0.005775376342474385
HRP,GARCH,29,-0.008621144235006702,0.008576093333396378
ERC,GARCH,29,-0.008922682432651655,0.009280857907248
MVP,DCC,29,-0.007638409831694162,0.00560134066608859
HRP,DCC,29,-0.008626716063775148,0.00803129948550782
ERC,DCC,29,-0.008842006293613239,0.008670884266365902
Naive,N/A,30,0.003801052321251098,0.015278185640391673
MVP,Historical,30,0.0017384228877525888,0.008240759412656158
HRP,Historical,30,0.003038170422772408,0.01221831378687387
ERC,Historical,30,0.003315905849367842,0.013549425216087721
MVP,GARCH,30,0.003313681650834353,0.007873107186408336
HRP,GARCH,30,0.003206246250132745,0.012069801495563155
ERC,GARCH,30,0.0033690643442555804,0.012972248368562336
MVP,DCC,30,0.003248473055337522,0.007588948915166288
HRP,DCC,30,0.0032510976657790526,0.011392699408091653
ERC,DCC,30,0.0033459016751330372,0.012189705170122118
Naive,N/A,31,-0.0014869043031267661,0.015306995998205609
MVP,Historical,31,-3.189461491538356e-05,0.008283021501146575
HRP,Historical,31,-0.0007883321857362589,0.012289152061411058
ERC,Historical,31,-0.0010610246758342584,0.013590238832941233
MVP,GARCH,31,-0.00018588050154664994,0.008697461813778586
HRP,GARCH,31,-0.0009667794310287726,0.012606497065317888
ERC,GARCH,31,-0.0011655330190671373,0.013304646264917485
MVP,DCC,31,-0.00015691907259549504,0.008330666289393942
HRP,DCC,31,-0.0009509548469254631,0.011823235746515245
ERC,DCC,31,-0.0011367293905681086,0.012466882815974533
Naive,N/A,32,0.0017908140747164888,0.015295773995002667
MVP,Historical,32,0.0020376847824266527,0.008291364850479847
HRP,Historical,32,0.0016149985117555419,0.012274612603167402
ERC,Historical,32,0.0016999430236866613,0.013582121083129613
MVP,GARCH,32,0.0019021075830569938,0.007543585731561658
HRP,GARCH,32,0.0015832714435779713,0.010802910356592765
ERC,GARCH,32,0.0016672906115198938,0.01144305286219644
MVP,DCC,32,0.0018751464532937884,0.007167864519588274
HRP,DCC,32,0.0016612801182774354,0.010072656103935864
ERC,DCC,32,0.0017161497842480306,0.010722291601495829
Naive,N/A,33,0.0024605289327476955,0.01532819386174934
MVP,Historical,33,0.0018732112571912748,0.00832639842485251
HRP,Historical,33,0.0026492033458653127,0.012298442286153
ERC,Historical,33,0.0025739271850040045,0.013617390319582109
MVP,GARCH,33,0.002675305943975714,0.00746893999281386
HRP,GARCH,33,0.0026946678159023916,0.01077914850848984
ERC,GARCH,33,0.00260954511768255,0.011502314360369956
MVP,DCC,33,0.0024281971473238827,0.0071016815407534874
HRP,DCC,33,0.0026141459664745926,0.010097872758091243
ERC,DCC,33,0.002599764524347599,0.010777337511033913
Naive,N/A,34,0.0030726269220202407,0.015312146732828267
MVP,Historical,34,0.0013397057752535437,0.008327761418865851
HRP,Historical,34,0.00266176197498328,0.012259570981859098
ERC,Historical,34,0.0027667064709196213,0.01360293958599215
MVP,GARCH,34,0.0008659080099521294,0.006729630580003819
HRP,GARCH,34,0.0024960702942362716,0.009616278551037005
ERC,GARCH,34,0.002657965867038835,0.010358202317160814
MVP,DCC,34,0.001014171178505326,0.006348183286056205
HRP,DCC,34,0.0024153316184575774,0.009017931552091137
ERC,DCC,34,0.0026071773678359683,0.009692426671589413
Naive,N/A,35,-0.0027379806945600814,0.015303306283212517
MVP,Historical,35,-0.0021351840377612703,0.008325676757570311
HRP,Historical,35,-0.002385458196986445,0.012311654584843833
ERC,Historical,35,-0.0026058366836935964,0.013592422022354382
MVP,GARCH,35,-0.002386247772370344,0.006652593940769808
HRP,GARCH,35,-0.0024029502232237616,0.010028058430820242
ERC,GARCH,35,-0.0025568304168884525,0.01089491445776121
MVP,DCC,35,-0.002212570251055343,0.0062963874726949445
HRP,DCC,35,-0.002498421013007979,0.009342540741667774
ERC,DCC,35,-0.002598598024696498,0.010173274861176307
Naive,N/A,36,0.002009847913567468,0.01527072198528104
MVP,Historical,36,0.003280373034072552,0.00831911218130723
HRP,Historical,36,0.001981847186071003,0.012259010048414622
ERC,Historical,36,0.001953203813349772,0.01356550059688326
MVP,GARCH,36,0.002374178252282249,0.0072228880806903
HRP,GARCH,36,0.001942868218785171,0.010211997917388327
ERC,GARCH,36,0.0019492744872376885,0.010897446235050491
MVP,DCC,36,0.0020553939986749665,0.006854048419454727
HRP,DCC,36,0.0019456217171249853,0.009544482882291533
ERC,DCC,36,0.0019462216973796561,0.010192106705949477
Naive,N/A,37,-0.0010091356117857245,0.01523993928690016
MVP,Historical,37,0.002533171605727588,0.00831293252105141
