Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
ERC,GARCH,52,-0.02111369977975794,0.008154963257516438
ERC,Historical,52,-0.0216195745557614,0.00729264892539534
Naive,N/A,52,-0.023959082554615624,0.008116791575755655
HRP,GARCH,53,0.01811228901852661,0.007656536223816527
HRP,Historical,53,0.018807975463915536,0.006867257599643714
MVP,GARCH,53,0.008509093203855109,0.004463520767356743
MVP,Historical,53,0.008525879273013725,0.004273277490469295
ERC,GARCH,53,0.02031347533437751,0.00883687294466319
ERC,Historical,53,0.0207155794510651,0.007423813265563512
Naive,N/A,53,0.022735830141627923,0.008264981583216856
HRP,GARCH,54,-0.002365484193538923,0.007718304902672295
HRP,Historical,54,-0.0028186037727480342,0.006898489962652271
MVP,GARCH,54,-0.002897797424070378,0.004527899174224459
MVP,Historical,54,-0.00384269334692014,0.004271220348220767
ERC,GARCH,54,-0.002609278381534767,0.009019938844083392
ERC,Historical,54,-0.002977797851572676,0.007511628914122036
Naive,N/A,54,-0.003008978031610612,0.008366092238077353
HRP,GARCH,55,0.009796667037612696,0.007301521096789923
HRP,Historical,55,0.010071972068348119,0.006916547483982729
MVP,GARCH,55,0.006660014114057649,0.004260218978481556
MVP,Historical,55,0.008838879771875887,0.004279445192819039
ERC,GARCH,55,0.011815091557519076,0.00852468874183784
ERC,Historical,55,0.012104687811027734,0.007514419034979781
Naive,N/A,55,0.013110287646150649,0.00836615678784892
HRP,GARCH,56,0.00889748087921958,0.00722626263761526
HRP,Historical,56,0.008606678750284008,0.006948394585018412
MVP,GARCH,56,0.007358129611722962,0.004363708770508868
MVP,Historical,56,0.005835794938722577,0.004304924591240342
ERC,GARCH,56,0.009556340673121881,0.0084159445539739
ERC,Historical,56,0.009166932087104746,0.007556594598255657
Naive,N/A,56,0.010279745843287644,0.00840208481249954
HRP,GARCH,57,-0.007847458110242608,0.007232594246402476
HRP,Historical,57,-0.00888223212122659,0.006966050986506103
MVP,GARCH,57,-0.0011489175250656695,0.004396372996613436
MVP,Historical,57,-0.0024199735778606436,0.004303349018858725
ERC,GARCH,57,-0.009659729530220564,0.008329021212079036
ERC,Historical,57,-0.010283833873642807,0.007569447196618496
Naive,N/A,57,-0.011567800183233381,0.008422397795204224
HRP,GARCH,58,0.004299398860601789,0.007298661606206386
HRP,Historical,58,0.004365986384213394,0.007010207385296586
MVP,GARCH,58,0.0014825528363404889,0.004390114123190665
MVP,Historical,58,0.002774581870832123,0.004316516413111885
ERC,GARCH,58,0.0045090108866020235,0.008344570562392307
ERC,Historical,58,0.004545669402292469,0.007594319228514359
Naive,N/A,58,0.004733824729046013,0.008456342991195284
HRP,GARCH,59,-0.014533138045839162,0.007035931189928777
HRP,Historical,59,-0.01519764903914731,0.006975448726760578
MVP,GARCH,59,-0.006573273878837124,0.004247249027381707
MVP,Historical,59,-0.0074429551302723105,0.004325238463045787
ERC,GARCH,59,-0.016578705596965667,0.008104830791262445
ERC,Historical,59,-0.016903337388882254,0.007599528090830942
Naive,N/A,59,-0.018622391143246993,0.008458712316723618
HRP,GARCH,60,-0.002927961544457878,0.007299262365083468
HRP,Historical,60,-0.003268806381818222,0.007023426397421355
MVP,GARCH,60,-0.0030007545460288983,0.004282761926607265
MVP,Historical,60,-0.004460474436229378,0.004318112496749582
ERC,GARCH,60,-0.0033943020653230947,0.00842515288842778
ERC,Historical,60,-0.003605321074141617,0.00764370438535858
Naive,N/A,60,-0.004001847756595713,0.008499745671521522
HRP,GARCH,61,0.011998735777178554,0.007157945530480227
HRP,Historical,61,0.011900146717445395,0.006992829236550185
MVP,GARCH,61,0.009848571132081086,0.004227070236333212
MVP,Historical,61,0.008304552532681454,0.004339757201490121
ERC,GARCH,61,0.012595486847228932,0.008245643700991939
ERC,Historical,61,0.012461671435334562,0.007638383062041494
Naive,N/A,61,0.013477945509976195,0.008497015651307775
HRP,GARCH,62,-0.00021797837448797293,0.0072321065773696845
HRP,Historical,62,-0.00042884137237483887,0.0070466658630311
MVP,GARCH,62,0.0008143577154025763,0.004220914934828766
MVP,Historical,62,-0.0025440814213865005,0.0043305434932200074
ERC,GARCH,62,-0.0011563014969859582,0.008249258164426556
ERC,Historical,62,-0.001428263113543171,0.007662455183227215
Naive,N/A,62,-0.001327543252852855,0.008521070086161766
HRP,GARCH,63,0.004354366228352398,0.007078788377477417
HRP,Historical,63,0.00461529292211658,0.007037223692844027
MVP,GARCH,63,0.0025890282592062434,0.004160162448187411
MVP,Historical,63,-0.0002663244772413928,0.004329909484636482
ERC,GARCH,63,0.005102986817004541,0.008031841429398593
ERC,Historical,63,0.005360252838931491,0.0076649238997047444
Naive,N/A,63,0.006620397300419011,0.008521859565500091
HRP,GARCH,64,0.0015885469662655245,0.00692598717654191
HRP,Historical,64,0.0015772169595009962,0.007015370959468095
