Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev
ERC,Historical,43,0.2112305545486089,0.004320638165209294,0.020454607878307766
Naive,N/A,43,0.20244105314593444,0.004489981991517502,0.022179206844378508
HRP,GARCH,44,0.30021396760039926,0.00210760061912063,0.007020328321052531
HRP,Historical,44,0.29557446772910817,0.002112652293578951,0.0071476143044776844
MVP,GARCH,44,0.3555620968810992,0.0052538310052987714,0.014776127858914233
MVP,Historical,44,0.28323192831398597,0.004549344196627604,0.016062257612370172
ERC,GARCH,44,0.2465109598794613,0.0019158229862204408,0.007771755816281914
ERC,Historical,44,0.24954657323769908,0.001963953551904533,0.007870088242140758
Naive,N/A,44,0.17483703111724888,0.00163964250460217,0.009378119121129413
HRP,GARCH,45,0.04319399570505849,0.0003326777252008036,0.007701943748673462
HRP,Historical,45,0.04558713156419862,0.00035887335074684124,0.007872251190918946
MVP,GARCH,45,0.1403837596874596,0.0012475239935582209,0.00888652644960941
MVP,Historical,45,0.39412436538921747,0.002701262909199422,0.006853833831186231
ERC,GARCH,45,0.0920022010305898,0.0007474263767604094,0.008124005386696104
ERC,Historical,45,0.09546843952488397,0.000782980672103508,0.008201460880686367
Naive,N/A,45,0.17185430365202414,0.0015026213406724046,0.008743577022749213
HRP,GARCH,46,0.16010989266093936,0.0013303362858776541,0.008308894995607007
HRP,Historical,46,0.1716155621555009,0.001417876485466999,0.008261934218892462
MVP,GARCH,46,0.3105711730724987,0.0025779692070510393,0.008300735646348114
MVP,Historical,46,0.19367281175509163,0.0029477892095574423,0.015220459613531405
ERC,GARCH,46,0.19859914549561128,0.0017039719406978463,0.008579956053917167
ERC,Historical,46,0.20835698165733565,0.001792753807907441,0.00860424159366931
Naive,N/A,46,0.2579089959311296,0.0023556508576597947,0.009133651384106172
HRP,GARCH,47,0.5717979305528227,0.0026411497724750646,0.004619026462585414
HRP,Historical,47,0.5716294790253567,0.002601259959650572,0.004550604989941717
MVP,GARCH,47,0.4824902145825023,0.003576483685614453,0.007412551752389789
MVP,Historical,47,0.30946627983717157,0.003060173987346492,0.00988855389658812
ERC,GARCH,47,0.6065649294260838,0.0027748897950516903,0.004574761349419295
ERC,Historical,47,0.6046425606229342,0.002759955834638008,0.004564607281026593
Naive,N/A,47,0.5929334587933988,0.0029881600947697365,0.005039621310712588
HRP,GARCH,48,0.22535946773228904,0.0018660507876897593,0.008280330116445316
HRP,Historical,48,0.21789782380609904,0.001810241987639207,0.008307756158455666
MVP,GARCH,48,0.33451442634336903,0.0043959361370322705,0.013141245312152766
MVP,Historical,48,0.2717640654310717,0.003136749343428309,0.01154217846444416
ERC,GARCH,48,0.20614620920416185,0.0016218570395880663,0.007867508434180428
ERC,Historical,48,0.19891853993046596,0.0015598225849682297,0.0078415143481019
Naive,N/A,48,0.19538009191257788,0.0016715508534558164,0.008555379604405887
HRP,GARCH,49,0.1798232526839082,0.0014956689574047934,0.008317439124704677
HRP,Historical,49,0.17693115871996373,0.0014679374640923963,0.008296658851456242
MVP,GARCH,49,0.16932310317951293,0.0019721790416941227,0.011647430295458608
MVP,Historical,49,0.05188034542166399,0.0006107241055510607,0.01177178179110652
ERC,GARCH,49,0.20793030335216564,0.0016127999584331385,0.007756444983882821
