Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
MVP,GARCH,12,0.604530968572588,0.005737753912008407,0.009491248935610907,0.0028928879000238326,-0.0037774388682385723,0.0008312111563194809,0.009490831896290663
MVP,Historical,12,0.6479018624891925,0.006378324855863794,0.009844584844005121,0.0035334588438792197,-0.0034241029598443586,0.001471782100174868,0.009844167804684877
ERC,GARCH,12,0.12831910946460343,0.001842652112613745,0.014359919736834184,-0.0010022138993708296,0.001091231932984705,-0.0030638906430751813,0.01435950269751394
ERC,Historical,12,0.14003201220850067,0.0020521934363171004,0.014655173513192732,-0.0007926725756674741,0.0013864857093432523,-0.002854349319371826,0.014654756473872488
Naive,N/A,12,0.10101323254981422,0.001630358013141983,0.01614004395253839,-0.0012145079988425914,0.002871356148688912,-0.003276184742546943,0.016139626913218148
Real ERC,OOS,12,0.21440447269844037,0.0028448660119845745,0.01326868780384948,0.0,0.0,-0.0020616767437043517,0.013268270764529235
Real MVP,OOS,12,11765.18020608039,0.004906542755688926,4.1703932024374474e-07,0.0020616767437043517,-0.013268270764529235,0.0,0.0
HRP,GARCH,13,0.18338886546404745,0.0025952452276519467,0.014151596505518121,-0.00035550359175995014,-0.003121581723255754,-0.006381425312880072,0.014150957161016643
HRP,Historical,13,0.15251008490647047,0.002260887703117066,0.014824512782243848,-0.0006898611162948309,-0.0024486654465300274,-0.006715782837414953,0.01482387343774237
MVP,GARCH,13,0.4113211249201023,0.005126140652998266,0.01246262431571926,0.0021753918335863692,-0.004810553913054615,-0.003850529887533753,0.012461984971217782
MVP,Historical,13,0.39767406457749893,0.0050228431981199865,0.01263055261965954,0.0020720943787080896,-0.0046426256091143345,-0.003953827342412033,0.012629913275158063
ERC,GARCH,13,0.15270220024182404,0.0023380739956969303,0.015311331414965091,-0.0006126748237149666,-0.001961846813808784,-0.006638596544835089,0.015310692070463613
ERC,Historical,13,0.1303842567499493,0.0020647856763687947,0.015836157890815276,-0.0008859631430431021,-0.0014370203379585993,-0.006911884864163225,0.0158355185463138
