Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
ERC,Historical,17,-0.4145252948912396,-0.00852336960088605,0.020561759935837823,0.0002941863416810152,0.000635071487107803,0.0054300121560518205,0.020561321810838685
Naive,N/A,17,-0.4051313478576818,-0.009234809905976239,0.022794607118924618,-0.000417253963409173,0.0028679186701945983,0.004718571850961632,0.02279416899392548
Real ERC,OOS,17,-0.4424998145203114,-0.008817555942567066,0.01992668844873002,0.0,0.0,0.005135825814370805,0.019926250323730882
Real MVP,OOS,17,-31847.947011423323,-0.01395338175693787,4.381249991383441e-07,-0.005135825814370805,-0.019926250323730882,0.0,0.0
HRP,GARCH,18,0.015137901213766984,0.00024290915436407952,0.016046422217577207,4.862983993380744e-05,-0.0017364778720597718,0.0037888878666519185,0.016045780543843164
HRP,Historical,18,0.02088364007207106,0.0003647798757324246,0.01746725544366504,0.00017050056130215251,-0.0003156446459719395,0.003910758588020264,0.017466613769930996
MVP,GARCH,18,0.3404838373689019,0.0018694048273572537,0.005490436320863657,0.0016751255129269817,-0.012292463768773323,0.005415383539645093,0.005489794647129615
MVP,Historical,18,0.2842934936938078,0.001693340783398982,0.005956312124479213,0.0014990614689687099,-0.011826587965157766,0.005239319495686821,0.00595567045074517
ERC,GARCH,18,0.03778662165474831,0.0007662672771568957,0.020278798251883563,0.0005719879627266236,0.002495898162246584,0.004312245989444735,0.02027815657814952
ERC,Historical,18,0.03874531984048256,0.0008172698018608756,0.021093381219348242,0.0006229904874306035,0.003310481129711263,0.004363248514148714,0.0210927395456142
Naive,N/A,18,0.03977419660630062,0.0009542707356686705,0.02399220643258712,0.0007599914212383984,0.006209306342950142,0.004500249447956509,0.023991564758853078
Real ERC,OOS,18,0.01092506359766868,0.00019427931443027208,0.01778290008963698,0.0,0.0,0.003740258026718111,0.017782258415902936
Real MVP,OOS,18,-5526.139725169487,-0.003545978712287839,6.416737340420909e-07,-0.003740258026718111,-0.017782258415902936,0.0,0.0
HRP,GARCH,19,-0.20684994425744768,-0.006182025175483809,0.029886520867463195,-0.001079307215664571,-0.005279420051415146,0.0025617819017009595,0.029886014616566585
HRP,Historical,19,-0.17103425372426187,-0.0055393425670231845,0.03238732854036131,-0.0004366246072039469,-0.00277861237851703,0.0032044645101615837,0.032386822289464705
MVP,GARCH,19,-0.7111358661117362,-0.010387553975994081,0.014606989284326088,-0.005284836016174844,-0.020558951634552253,-0.0016437468988093132,0.01460648303342948
