Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
HRP,Historical,37,0.006115015063378871,0.005858894240911631
MVP,GARCH,37,0.005083500425167153,0.004664063569617362
MVP,Historical,37,0.005107936903222922,0.004991781294759964
ERC,GARCH,37,0.006379711827770582,0.005873488177762993
ERC,Historical,37,0.006356563722398134,0.006283950065918988
Naive,N/A,37,0.006653405549823813,0.00665187700660124
HRP,GARCH,38,0.01636176875430717,0.006060345584670042
HRP,Historical,38,0.015868058429668704,0.005798399477807074
MVP,GARCH,38,0.01247838652181025,0.005079700247041564
MVP,Historical,38,0.012985247381020148,0.004972181445010216
ERC,GARCH,38,0.01739791214444821,0.006493497944660929
ERC,Historical,38,0.017032635049076882,0.006207836164767966
Naive,N/A,38,0.017953645271158294,0.006566089234257621
HRP,GARCH,39,0.0039680857369141205,0.005833284292378292
HRP,Historical,39,0.004006680139698271,0.005860565432002718
MVP,GARCH,39,0.0011297354303841745,0.005019262692143294
MVP,Historical,39,0.0010947516347460714,0.005004210931181883
ERC,GARCH,39,0.0046437181251476065,0.006197422673239932
ERC,Historical,39,0.004670366018901886,0.00627273079291654
Naive,N/A,39,0.005154155605560332,0.006638854863297333
HRP,GARCH,40,-0.002968999607416683,0.006271533843906172
HRP,Historical,40,-0.0034277721183616746,0.005867137113580792
MVP,GARCH,40,-0.0010607582753827162,0.005249000709243214
MVP,Historical,40,-0.001474642066572353,0.0050017900825277085
ERC,GARCH,40,-0.003724578661968824,0.006639796499604995
ERC,Historical,40,-0.003938652687555194,0.006275225397681118
Naive,N/A,40,-0.004152452155317454,0.006637731582543861
HRP,GARCH,41,-0.0014538299608138116,0.005856203778077791
HRP,Historical,41,-0.0014789460133407093,0.005857721733755525
MVP,GARCH,41,-0.003664429375016871,0.004984075177167283
MVP,Historical,41,-0.003869787689418121,0.004991038053622843
ERC,GARCH,41,-0.0011429899014130124,0.006271883820738694
ERC,Historical,41,-0.001161950608842757,0.0062666583383424335
Naive,N/A,41,-0.0009332994368406733,0.006626854347912585
HRP,GARCH,42,-0.0020292515087901356,0.005829708187456479
HRP,Historical,42,-0.0018071026616602833,0.005819139335110861
MVP,GARCH,42,-0.0033530520478373613,0.0049268253727922234
MVP,Historical,42,-0.0028642064842043014,0.004966921795687591
ERC,GARCH,42,-0.0014013490914975735,0.006264594507665601
ERC,Historical,42,-0.0013132619501882192,0.0062234613462909365
Naive,N/A,42,-0.001230222370473169,0.006576435605824808
HRP,GARCH,43,0.004267982706663547,0.00587150532341809
HRP,Historical,43,0.004409740230537146,0.0058162653915188045
MVP,GARCH,43,0.002198201560875172,0.004966845120257421
MVP,Historical,43,0.0022718845914506845,0.004967255363492181
ERC,GARCH,43,0.004820531434094729,0.0062448552362154375
ERC,Historical,43,0.004855283339780377,0.0062217877961710365
Naive,N/A,43,0.004882031792487911,0.006575536217695574
HRP,GARCH,44,-0.012913647297452455,0.0057481472935930426
HRP,Historical,44,-0.012976678164226655,0.005815583913063131
MVP,GARCH,44,-0.011464259297546934,0.004890721270167878
MVP,Historical,44,-0.010709986501172535,0.004966107323729683
ERC,GARCH,44,-0.013206751331761765,0.006140289233679791
ERC,Historical,44,-0.01325120689070414,0.006217392841562353
Naive,N/A,44,-0.013534388043295119,0.0065647194061162414
HRP,GARCH,45,0.004086127379344605,0.0058333298417189445
HRP,Historical,45,0.004100162145042917,0.0058760051007668256
MVP,GARCH,45,0.007572074101290687,0.004871884555168975
MVP,Historical,45,0.00730144158954747,0.005010949213689378
ERC,GARCH,45,0.0030623533557482267,0.006294056540765219
ERC,Historical,45,0.003117134612506985,0.006276435396350945
Naive,N/A,45,0.0022785453417487195,0.006619367774361688
HRP,GARCH,46,-0.017611405228006426,0.006298826158519089
HRP,Historical,46,-0.018436051259296374,0.00588023929544023
MVP,GARCH,46,-0.013080916135994311,0.005197336342796899
MVP,Historical,46,-0.01421579664050692,0.004996509474090953
ERC,GARCH,46,-0.01908420428265775,0.00673374191106246
ERC,Historical,46,-0.019508050280764036,0.006279712318530168
Naive,N/A,46,-0.020028915101707123,0.0066129989087310975
HRP,GARCH,47,0.0011211758936538275,0.006351987729968865
HRP,Historical,47,0.0014735246448565132,0.006006856005625726
MVP,GARCH,47,0.0026727574774735165,0.005273757006367563
MVP,Historical,47,0.004066994336190643,0.005075542116490614
ERC,GARCH,47,0.0010836586933324894,0.006744103115400556
ERC,Historical,47,0.0012440350042080396,0.006410040057707006
Naive,N/A,47,0.0007927965927060146,0.006739846902534329
HRP,GARCH,48,-0.022906623512253897,0.006879794684307801
HRP,Historical,48,-0.02309287566061185,0.005998955252784117
MVP,GARCH,48,-0.01865574456437389,0.005669099908690134
MVP,Historical,48,-0.018815973933821124,0.005072920208436736
ERC,GARCH,48,-0.024091652697180457,0.007393302305486387
ERC,Historical,48,-0.024199114987053374,0.006402221431513119
Naive,N/A,48,-0.024997136325202875,0.006733722722876329
HRP,GARCH,49,-0.014578702532343639,0.006994515030135401
HRP,Historical,49,-0.014924782238096963,0.006229539554450118
MVP,GARCH,49,-0.01101400402853248,0.005787962035373746
MVP,Historical,49,-0.013360098858776905,0.00521086657049816
ERC,GARCH,49,-0.014806394519447545,0.007385093878749148
ERC,Historical,49,-0.014945901404261198,0.006591958132115804
Naive,N/A,49,-0.0148355953647243,0.006912379384389424
HRP,GARCH,50,0.0110741591378741,0.008088418266113229
HRP,Historical,50,0.009793286817209623,0.0063058979129610275
MVP,GARCH,50,0.010581436691468033,0.006742364475704325
MVP,Historical,50,0.006437075770087517,0.005278242490034455
ERC,GARCH,50,0.011382386402278497,0.008533742788231359
ERC,Historical,50,0.010722550290230849,0.00665653944059285
Naive,N/A,50,0.011494430963297636,0.006962990495293988
HRP,GARCH,51,-0.011320746281592327,0.008265304378745566
HRP,Historical,51,-0.010522483986954509,0.006320360157603938
MVP,GARCH,51,-0.010541753239948631,0.006806953108817419
MVP,Historical,51,-0.006093061740336923,0.005283096474295989
ERC,GARCH,51,-0.011560549467430833,0.008674751011721719
ERC,Historical,51,-0.011279370852792587,0.006679094743475242
Naive,N/A,51,-0.011679715841929485,0.006990542117689411
HRP,GARCH,52,0.005433882120316227,0.00783569378051825
HRP,Historical,52,0.0060992349758586945,0.0063478615425458206
MVP,GARCH,52,0.009140059723499797,0.006686162545514373
MVP,Historical,52,0.009506211214111587,0.005297181492604626
ERC,GARCH,52,0.004978483641446327,0.008157712803054577
ERC,Historical,52,0.0053878764536428566,0.006709213543627915
Naive,N/A,52,0.004612596733296476,0.007018947974478028
HRP,GARCH,53,0.007164457668323739,0.00766612811143925
HRP,Historical,53,0.006896650303927651,0.006358995835433463
MVP,GARCH,53,0.00656387472372915,0.0066204089463007595
MVP,Historical,53,0.006704430520765645,0.005327966403169295
ERC,GARCH,53,0.0068090909046536535,0.008028606769487733
ERC,Historical,53,0.006717053778054567,0.006718349847965826
Naive,N/A,53,0.006663335601141254,0.007023332815635923
HRP,GARCH,54,-0.022627607742040434,0.0073144660112020015
HRP,Historical,54,-0.023160059699682666,0.006328341413604147
MVP,GARCH,54,-0.015149757174416882,0.006211067258106105
MVP,Historical,54,-0.012876976794669733,0.005328616669135836
ERC,GARCH,54,-0.024944700022533194,0.007754052659172321
ERC,Historical,54,-0.025196535589588807,0.006676550225013733
Naive,N/A,54,-0.026601473584713736,0.006969852002199124
HRP,GARCH,55,0.01814304140500885,0.007572941923611912
HRP,Historical,55,0.01956140578335668,0.006471953013740155
MVP,GARCH,55,0.022016114660426345,0.006240762885726244
MVP,Historical,55,0.023710549301287014,0.00539210653867239
ERC,GARCH,55,0.017345872662627892,0.008094746415817174
ERC,Historical,55,0.018280665960746782,0.0068369936400770855
Naive,N/A,55,0.017454057793097777,0.007143602085217793
HRP,GARCH,56,0.005417601465515757,0.008634910043825793
HRP,Historical,56,0.006229017982328706,0.006607796036259259
MVP,GARCH,56,0.003500329236192902,0.0075028419331661655
MVP,Historical,56,0.003618568613513628,0.005584357814467643
ERC,GARCH,56,0.006596837491669208,0.00912850514677203
ERC,Historical,56,0.007001741252481367,0.006942247829862499
Naive,N/A,56,0.007544596645057078,0.0072228799234720425
HRP,GARCH,57,0.01366659606450413,0.009184308533902083
HRP,Historical,57,0.012684597367930641,0.0066088057502244665
MVP,GARCH,57,0.015138669720407033,0.008184226332367936
MVP,Historical,57,0.010108522563217348,0.005564643719201181
ERC,GARCH,57,0.014090906091469773,0.009575882540843914
ERC,Historical,57,0.013580099370516366,0.006950587980662192
Naive,N/A,57,0.014398926301180032,0.007234985044265994
HRP,GARCH,58,-0.024639501227251535,0.008692476771235849
HRP,Historical,58,-0.024916557266987372,0.006646484844256449
MVP,GARCH,58,-0.0215844597008712,0.007692521584676412
MVP,Historical,58,-0.02180120041653045,0.005597566277162835
ERC,GARCH,58,-0.025541507931422555,0.00918544550264462
ERC,Historical,58,-0.025703407988414865,0.006987933340415294
Naive,N/A,58,-0.026224428595919412,0.00727702701015874
HRP,GARCH,59,-0.0007071689844951736,0.009311125578822818
HRP,Historical,59,-0.0009411300109314246,0.006878997939989791
MVP,GARCH,59,-0.001125360483096692,0.008165561273226353
MVP,Historical,59,-0.0025728267498409006,0.005769773358466996
ERC,GARCH,59,-0.0003429666409733285,0.009765979255065184
ERC,Historical,59,-0.00046937185495848465,0.00718762881053729
Naive,N/A,59,-0.00045100184365324397,0.007470465196518131
HRP,GARCH,60,0.0013498494315850218,0.010225735683025147
HRP,Historical,60,0.0005743573728811214,0.006870060414267309
MVP,GARCH,60,0.0031762124844307133,0.00892414466862665
MVP,Historical,60,-0.0007032429074014788,0.00577056882355505
ERC,GARCH,60,0.0006714988924928453,0.01070325114655004
ERC,Historical,60,0.00032917558162020254,0.007175553803501813
Naive,N/A,60,0.00018160351605293196,0.007454334040779979
HRP,GARCH,61,-0.020073357166505754,0.009486054315217327
HRP,Historical,61,-0.018716120207155504,0.006868454118516175
MVP,GARCH,61,-0.01617035655044905,0.008273009909406345
MVP,Historical,61,-0.008316834717371286,0.005758125907969282
ERC,GARCH,61,-0.020620226064896736,0.00996551868125566
ERC,Historical,61,-0.02014370701056517,0.007175635329632412
Naive,N/A,61,-0.02147532521903882,0.007454148647699795
HRP,GARCH,62,-0.01637702124631737,0.009177374437954586
HRP,Historical,62,-0.015863747266189783,0.006960567210932977
MVP,GARCH,62,-0.008869108489753358,0.007494262775043956
MVP,Historical,62,-0.008819241175984071,0.0057833296481198245
ERC,GARCH,62,-0.017881947049115512,0.009820103458849604
ERC,Historical,62,-0.017416557404768756,0.0072845338120803545
Naive,N/A,62,-0.01877440145915081,0.007582536413293453
HRP,GARCH,63,-0.002096680862513105,0.00973432849223081
HRP,Historical,63,0.00032937853211071434,0.006997573670262621
MVP,GARCH,63,-0.004258608782750414,0.007752219048438938
MVP,Historical,63,-0.00227042183434109,0.005804466235970334
ERC,GARCH,63,-0.0012715591506958117,0.010572167490640678
ERC,Historical,63,0.000443461136256652,0.007352336799448852
