Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
ERC,GARCH,15,0.0008015142253914063,0.009898510270500557
ERC,Historical,15,0.0009759611317484033,0.008986963917365736
Naive,N/A,15,0.0012996879201755012,0.010470216762570601
HRP,GARCH,16,-0.0007157181358191986,0.007323026711009083
HRP,Historical,16,-0.0008702743195075039,0.007578643575768363
MVP,GARCH,16,-0.0003851233277448159,0.005670830273948495
MVP,Historical,16,-0.0008651433154011288,0.005943785549763799
ERC,GARCH,16,-0.0007477823181993833,0.009128579886315638
ERC,Historical,16,-0.0007995469052748217,0.00905017549153766
Naive,N/A,16,-0.000685750341485572,0.010567422686949208
HRP,GARCH,17,0.0043350276180934314,0.007253311455677842
HRP,Historical,17,0.004458372348938898,0.007614572255455083
MVP,GARCH,17,0.0036353325367876484,0.005679032573252234
MVP,Historical,17,0.0036032207769690775,0.005977273298886078
ERC,GARCH,17,0.005061202693819934,0.008725920581543055
ERC,Historical,17,0.005146905999693647,0.009088881708585891
Naive,N/A,17,0.006395615647043216,0.010619989468107842
HRP,GARCH,18,-0.0004513051517044506,0.0071716582654182785
HRP,Historical,18,-0.00024246970913088562,0.007669395332400858
MVP,GARCH,18,-0.0010472423544460076,0.005676696134849
MVP,Historical,18,-0.0005037649440389828,0.006073853983868411
ERC,GARCH,18,-0.0005714768492910055,0.008476000860075491
ERC,Historical,18,-0.0005085664038213452,0.009121204229321894
Naive,N/A,18,-0.0004262534009875557,0.010665142433459106
HRP,GARCH,19,0.0010551947476781876,0.006762104350107094
HRP,Historical,19,0.0013227446417779054,0.007626994452992268
MVP,GARCH,19,0.001270837987797716,0.005342809869507935
MVP,Historical,19,0.0014741105031976249,0.005968210768742697
ERC,GARCH,19,0.0012715654409505954,0.008007937120720758
ERC,Historical,19,0.00138161104421576,0.009108924399126828
Naive,N/A,19,0.0018622971283643597,0.010660894042986925
HRP,GARCH,20,0.0032529878648233255,0.006721058906380719
HRP,Historical,20,0.0031677353512239922,0.007565638359840546
MVP,GARCH,20,0.0035936054507996217,0.005262372474539527
MVP,Historical,20,0.0035734151350377023,0.005942651341944275
ERC,GARCH,20,0.002923120368357863,0.008032711031254212
ERC,Historical,20,0.0029090241950721464,0.00904345198928728
Naive,N/A,20,0.0022961122425514055,0.01063312175432004
HRP,GARCH,21,-0.001048846940809873,0.006271044457722234
HRP,Historical,21,-0.0005957194671235667,0.007497967821423857
MVP,GARCH,21,-0.0017098858386910463,0.004988215673345962
MVP,Historical,21,-0.000821560102558363,0.00590631928380056
ERC,GARCH,21,-0.0004378476159862279,0.007415355893599098
ERC,Historical,21,-0.00022894078589615318,0.008966224777798695
Naive,N/A,21,0.0003793745320681295,0.010551761864726552
HRP,GARCH,22,0.0002187821656564885,0.006015930672099145
HRP,Historical,22,-0.00029521753384600914,0.007426258976337186
MVP,GARCH,22,0.0009736328216803463,0.004823537196135909
MVP,Historical,22,8.747569972131595e-05,0.005851550617062754
ERC,GARCH,22,-0.0005086967144284974,0.007151670786391165
ERC,Historical,22,-0.0008003912905127952,0.008880607982112253
Naive,N/A,22,-0.001307886994237404,0.010469276528852888
HRP,GARCH,23,-0.001270125473846671,0.00590792763694866
HRP,Historical,23,-0.001134442052832955,0.007378611335477578
MVP,GARCH,23,-0.0013477081303351504,0.004828693764954554
MVP,Historical,23,-0.0013465404397790264,0.005854183699930925
ERC,GARCH,23,-0.0012716160695193223,0.007006537898988353
ERC,Historical,23,-0.0011495710198160408,0.008864254207118116
Naive,N/A,23,-0.0010871659052684008,0.010465015192239878
HRP,GARCH,24,0.001809557067116769,0.0064115203236323
HRP,Historical,24,0.0016549204193977538,0.007321834918143024
MVP,GARCH,24,0.0013932924616085716,0.005117026318698655
MVP,Historical,24,0.001007934033443872,0.005804974109673542
ERC,GARCH,24,0.0019163198555808795,0.00761680677377048
ERC,Historical,24,0.0018799361550970047,0.00882188349445699
Naive,N/A,24,0.0019527992447955292,0.010459019009446003
HRP,GARCH,25,0.004445539925536635,0.00623422384051015
HRP,Historical,25,0.004960657485652527,0.0073778049950794155
MVP,GARCH,25,0.0033473946639403958,0.004738888670146646
MVP,Historical,25,0.00414083486858576,0.005570315032622125
ERC,GARCH,25,0.005136480402958333,0.007025317019205237
ERC,Historical,25,0.00547704106862947,0.00829896380279909
Naive,N/A,25,0.00597064679074818,0.010051777988631412
HRP,GARCH,26,0.0005457319862010048,0.006093876401176119
HRP,Historical,26,0.0004465841106052586,0.0069329171177119646
MVP,GARCH,26,0.0006979229635635276,0.004947445598032879
MVP,Historical,26,0.0006992772882883646,0.005602490657947061
ERC,GARCH,26,0.00031794500813331404,0.007404304580383169
ERC,Historical,26,0.0002546328678105078,0.008319701466569544
Naive,N/A,26,6.538840010864716e-06,0.010117015861484302
HRP,GARCH,27,-0.0002754301924860757,0.005710239470291076
HRP,Historical,27,-0.00026014883765193797,0.00690295137703878
MVP,GARCH,27,0.0007981714423546561,0.004655566753984164
MVP,Historical,27,0.0006284597322087285,0.005614984647965674
ERC,GARCH,27,-0.0007674641890191233,0.006866349627021594
ERC,Historical,27,-0.0007604695342760652,0.008305567816122768
Naive,N/A,27,-0.0014020652087085826,0.010099242143449066
HRP,GARCH,28,0.0017267598217197283,0.005525866005240136
HRP,Historical,28,0.0016692904514591222,0.006738934263333523
MVP,GARCH,28,0.0017407909773439127,0.0045311044849405385
MVP,Historical,28,0.0016942679734948008,0.005545899124122851
ERC,GARCH,28,0.0017095534087344095,0.006637339249801685
ERC,Historical,28,0.0017030932277245993,0.008028844437459286
Naive,N/A,28,0.0020234660997629,0.009771028890284337
HRP,GARCH,29,-0.00034057766825944453,0.006061891067690182
HRP,Historical,29,-0.0006560504292531502,0.006809060988686424
MVP,GARCH,29,0.0012199080649901884,0.004916566375354691
MVP,Historical,29,0.00035741373652458134,0.005526070644137975
ERC,GARCH,29,-0.0010154191853420824,0.007119723200312429
ERC,Historical,29,-0.0011390317947335927,0.008057389248953009
Naive,N/A,29,-0.0018594190013708051,0.009764038272743605
HRP,GARCH,30,-0.0004450500976648154,0.006017086461951755
HRP,Historical,30,-0.0004399233378082448,0.006761360349486042
MVP,GARCH,30,-0.0009150533557858037,0.00496839426900803
MVP,Historical,30,-0.0008255646354612626,0.005541339208279773
ERC,GARCH,30,-2.553945999919996e-05,0.007050381666174075
ERC,Historical,30,-3.1428537513549395e-05,0.008033896439787561
Naive,N/A,30,0.0007849900439632594,0.00972777726598845
HRP,GARCH,31,-0.000821624669550917,0.006410306960907963
HRP,Historical,31,-0.0007860138965114817,0.006913052433727866
MVP,GARCH,31,-0.0002019444063838444,0.00512992227293125
MVP,Historical,31,-4.529829429913041e-05,0.005567441609898268
ERC,GARCH,31,-0.001365382672046577,0.007536748973316812
ERC,Historical,31,-0.0013945645881041878,0.008121895725407764
Naive,N/A,31,-0.0020545792857619683,0.009805912020753796
HRP,GARCH,32,-0.0022813066575951353,0.005998002459644452
HRP,Historical,32,-0.002645482863836026,0.006930243692551932
MVP,GARCH,32,-0.000600300011815672,0.004728474384019942
MVP,Historical,32,-0.0011269676311365408,0.005581272083373928
ERC,GARCH,32,-0.0029676572827677344,0.007113546142238675
ERC,Historical,32,-0.003152951378719262,0.00813009771572408
Naive,N/A,32,-0.0035143774609832723,0.009810277052740395
HRP,GARCH,33,-0.002602149768865285,0.006499019339333403
